流程,大类,项目,数值,解释
烧结,日均成本,燃料动力,135000,日均成本
烧结,日均成本,工资,24500,日均成本
烧结,日均成本,制造费用,75250,日均成本
烧结,日均成本,余热发电,0,日均成本
烧结,日均成本,脱硫,21700,日均成本
烧结,存量,烧结矿存量,100,每日固定存储烧结矿吨数，如没有填0即可
球团,成本,燃料,36.26,单吨球团矿所耗燃料成本
球团,消耗,辅料,0.03,单吨球团矿平均消耗辅料吨数
球团,日均成本,工资,14840,日均成本
球团,日均成本,制造费用,21020,日均成本
球团,存量,球团矿存量,50,每日固定存储球团矿吨数，如没有填0即可
高炉,消耗,煤比,0.16,每吨铁水所需煤吨数
高炉,成本,返矿单价,431.41,每吨返矿内部结算价（针对烧结内外返、球团块矿外返）
高炉,日均成本,余能利用,-341910,日均成本
高炉,日均成本,动力,277836.5406,日均成本
高炉,日均成本,人工,92810,日均成本
高炉,日均成本,制造费用,100000,日均成本
高炉,收入,铁水市场价,2000,单t铁水市场价
烧结,收入,烧结矿市场价,700,单吨烧结矿市场价
球团,收入,球团矿市场价,710,单吨球团矿市场价
