流程,大类,项目,系数,基准值,解释
烧结,内返,基准比例,1.00,0.15,15-20
烧结,内返,SiO2,0.00,0.06,烧结矿中Si含量
烧结,内返,褐铁矿,0.00,0.20,烧结入炉铁料中褐铁矿比例
烧结,内返,Al2O3,0.00,0.03,烧结矿中Al含量
烧结,内返,CaO,0.00,0.12,烧结矿中Cao含量
烧结,外返,基准外返比率,1.00,0.06,输入的基本外返常数
烧结,外返,基准内返比率,2.00,0.15,输入的基本内返常数
烧结,燃料,基准用量,1.00,0.05,单吨烧结矿消耗燃料基准值
烧结,燃料,石灰石,2.00,0.03,单吨烧结矿中石灰石用量
烧结,燃料,MgO,0.00,0.03,烧结矿中Mg含量
烧结,燃料,褐铁矿,3.00,0.20,烧结入炉铁料中褐铁矿比例
球团,外返,基准比例,1.00,0.04,
球团,外返,黏土,0.40,0.02,单吨球团矿中黏土用量
高炉,焦比,基准焦比,1.00,0.37,350-380
高炉,焦比,入炉品味,-2.00,0.58,
高炉,焦比,焦炭灰分,1.50,0.13,焦炭中灰分影响
高炉,焦比,TiO2,1.00,0.16,炉渣中TiO2影响
高炉,焦比,熟料率,-0.10,0.85,高炉入炉铁料中熟料占比
高炉,焦比,喷吹煤灰分,0.00,0.10,
高炉,焦比,M4O,0.00,0.80,焦炭中M4O影响
高炉,焦比,固定碳,0.00,0.85,焦炭中固定碳影响(80%)
高炉,焦比,强度,0.00,0.61,焦炭反应后强度
高炉,焦比,SiO2,0.00,0.40,高炉入料中SiO2含量影响
高炉,铁水产量,铁元素收得率,0.98,0.00,
高炉,铁水产量,铁水中铁元素占比,0.97,0.00,
