流程,大类,项目,初始值,下限,上限
烧结,铁料,红泥返矿,705.9561808,0.0000,1200
烧结,铁料,氧化铁皮,185.6704489,0.0000,600
烧结,铁料,重力灰（炼铁）,18.56704489,0.0000,600
烧结,铁料,印粉,0,0.0000,650
烧结,铁料,巴混,0,0.0000,0
烧结,铁料,PB粉,541.2662319,0.0000,1500
烧结,铁料,高硅巴粗,0,0.0000,600
烧结,铁料,超特粉,263.1474611,0.0000,800
烧结,铁料,混合粉,297.0727182,0.0000,1200
烧结,铁料,麦克粉,676.3444285,0.0000,1200
烧结,铁料,纽曼粉,0,0.0000,1200
烧结,铁料,南非粉,0,0.0000,0
烧结,铁料,卡粉,224.3562201,0.0000,800
烧结,铁料,金布巴粉,0,0.0000,0
烧结,铁料,罗布河粉,0,0.0000,0
烧结,铁料,罗伊山粉,0,0.0000,0
烧结,铁料,伊朗精粉,0,0.0000,0
烧结,铁料,毛塔粉,0,0.0000,0
烧结,铁料,印度粉,0,0.0000,0
烧结,铁料,西部粉,297.0727182,0.0000,1200
烧结,燃料,焦粉,49.5,0.0000,600
烧结,燃料,白煤,112.2,0.0000,600
烧结,辅料,生石灰,296.2140647,0.0000,800
烧结,辅料,石灰石,0,0.0000,600
烧结,辅料,菱镁石粉,46.07859464,0.0000,600
烧结,辅料,白云石粉,0,0.0000,650
球团,铁料,自产球团矿,486,0.0000,1000
球团,辅料,膨润土,14.58,0.0001,200
高炉,块矿,PB块,100.3660619,0.0000,600
高炉,块矿,纽曼块,387.4074987,0.0000,600
高炉,块矿,南非块,0,0.0000,0
高炉,块矿,罗布河块,0,0.0000,0
高炉,块矿,毛塔块,0,0.0000,0
高炉,球团,外购球团1,585.3282727,0.0000,1000
高炉,焦炭,焦炭,900,600.0000,2000
高炉,喷吹煤,喷吹煤,480,0.0000,1000
高炉,辅料,蛇纹石,0,0.0000,0
高炉,辅料,菱镁石,0,0.0000,0
高炉,辅料,锰矿石,0,0.0000,0
